,fighter_1,fighter_2,winner,A_Sig._str._%,A_Td_%,A_Ctrl_%,B_Sig._str._%,B_Td_%,B_Ctrl_%
7044,Mike Pierce,Brock Larson,Mike Pierce,0.5,0.5454545454545454,0.9351851851851852,0.33,0.0,0.06481481481481481
7045,Mike Pyle,Chris Wilson,Mike Pyle,0.29,0.3333333333333333,0.8245614035087719,0.34,0.5,0.17543859649122806
7046,Gray Maynard,Roger Huerta,Gray Maynard,0.29,0.42857142857142855,0.7637795275590551,0.24,0.0,0.23622047244094488
7047,Ryan Jensen,Steve Steinbeiss,Ryan Jensen,0.52,1.0,0.87248322147651,0.36,0.0,0.12751677852348994
7048,Nate Diaz,Melvin Guillard,Nate Diaz,0.28,1.0,0.6587301587301587,0.26,1.0,0.3412698412698413
7049,Brandon Vera,Krzysztof Soszynski,Brandon Vera,0.46,1.0,0.5391304347826087,0.32,0.2,0.4608695652173913
7050,Todd Duffee,Tim Hague,Todd Duffee,0.8,0.0,1.0,0.0,0.0,0.0
7051,Jake Rosholt,Chris Leben,Jake Rosholt,0.5,0.75,0.40793201133144474,0.32,1.0,0.5920679886685553
7052,Evan Dunham,Marcus Aurelio,Evan Dunham,0.36,1.0,0.1942675159235669,0.26,0.2,0.8057324840764332
7053,Mark Munoz,Nick Catone,Mark Munoz,0.51,0.16666666666666666,0.5662100456621004,0.46,0.5,0.4337899543378995
7054,Aaron Simpson,Ed Herman,Aaron Simpson,0.5,1.0,1.0,0.21,0.0,0.0
7055,Nate Marquardt,Demian Maia,Nate Marquardt,1.0,0.0,1.0,0.0,0.0,0.0
7056,Antonio Rodrigo Nogueira,Randy Couture,Antonio Rodrigo Nogueira,0.28,0.0,0.6180811808118081,0.4,0.0,0.38191881918819187
7057,Thiago Silva,Keith Jardine,Thiago Silva,0.62,0.0,1.0,0.17,0.0,0.0
7058,Gabriel Gonzaga,Chris Tuchscherer,Gabriel Gonzaga,0.81,0.0,1.0,0.0,0.0,0.0
7059,Mike Russow,Justin McCully,Mike Russow,0.58,0.7272727272727273,0.9566433566433566,0.18,0.0,0.043356643356643354
7060,George Sotiropoulos,George Roop,George Sotiropoulos,0.42,0.6,0.9148936170212766,0.1,0.0,0.0851063829787234
7061,John Howard,Tamdan McCrory,John Howard,0.51,0.7142857142857143,0.7358490566037735,0.23,0.3333333333333333,0.2641509433962264
7062,Kurt Pellegrino,Josh Neer,Kurt Pellegrino,0.43,0.6,0.9571984435797666,0.5,0.0,0.042801556420233464
7063,Matthew Riddle,Dan Cramer,Matthew Riddle,0.7,0.2857142857142857,0.8821385176184691,0.17,0.0,0.11786148238153099
7064,BJ Penn,Kenny Florian,BJ Penn,0.6,0.3333333333333333,0.44661921708185054,0.32,0.0,0.5533807829181495
7065,Anderson Silva,Forrest Griffin,Anderson Silva,0.52,0.0,1.0,0.07,0.0,0.0
